Unnamed: 0,higher_seed,higher_seed_num,higher_record,lower_seed,lower_seed_num,lower_record,T1_OffRating,T2_OffRating,T1_tempo,T2_tempo,T1_fgEff,T2_fgEff,T1_ftRate,T2_ftRate,T1_wab,T2_wab,T1_talent,T2_talent,T1_sos,T2_sos,T1_Threepg,T2_Threepg,T1_FTPG,T2_FTPG,T1_PDiffPG,T2_PDiffPG,T1_OffRank,T2_OffRank,T1_DefRank,T2_DefRank,offRankDiff,defRankDiff,talentDiff,sosDiff,Seed_Diff
0,Duke,1,0.9117647058823528,Florida,1,0.8823529411764706,128.0,128.6,65.7,69.6,57.363184079602,55.0068902158934,32.089552238806,32.5677537896187,9.6,11.1,80.734,28.619,30.63,37.75,10.117647058823529,9.911764705882353,14.882352941176471,14.970588235294118,20.794117647058822,16.176470588235293,3.0,1.0,4.0,10.0,2.0,-6.0,52.114999999999995,-7.120000000000001,0
0,Duke,1,0.9117647058823528,Houston,1,0.8823529411764706,128.0,123.2,65.7,61.4,57.363184079602,52.6763381690845,32.089552238806,28.1640820410205,9.6,11.6,80.734,75.695,30.63,38.577,10.117647058823529,8.058823529411764,14.882352941176471,12.264705882352942,20.794117647058822,15.735294117647058,3.0,10.0,4.0,2.0,-7.0,2.0,5.0390000000000015,-7.946999999999999,0
0,Duke,1,0.9117647058823528,Auburn,1,0.8484848484848485,128.0,128.4,65.7,67.6,57.363184079602,55.7114721811915,32.089552238806,33.5302806499261,9.6,12.5,80.734,34.433,30.63,45.564,10.117647058823529,9.181818181818182,14.882352941176471,15.272727272727273,20.794117647058822,14.242424242424242,3.0,2.0,4.0,12.0,1.0,-8.0,46.300999999999995,-14.934000000000001,0
0,Duke,1,0.9117647058823528,St. John's,2,0.8823529411764706,128.0,113.9,65.7,70.1,57.363184079602,49.6856757970364,32.089552238806,30.1751234845083,9.6,7.8,80.734,64.078,30.63,27.94,10.117647058823529,6.029411764705882,14.882352941176471,13.617647058823529,20.794117647058822,12.823529411764707,3.0,65.0,4.0,1.0,-62.0,3.0,16.65599999999999,2.6899999999999977,-1
0,Duke,1,0.9117647058823528,Michigan St.,2,0.8181818181818182,128.0,118.1,65.7,67.7,57.363184079602,51.1503067484663,32.089552238806,37.8323108384458,9.6,7.8,80.734,74.743,30.63,34.707,10.117647058823529,5.96969696969697,14.882352941176471,17.515151515151516,20.794117647058822,10.909090909090908,3.0,27.0,4.0,5.0,-24.0,-1.0,5.991,-4.077000000000002,-1
0,Duke,1,0.9117647058823528,Tennessee,2,0.7941176470588235,128.0,120.3,65.7,63.6,57.363184079602,52.803738317757,32.089552238806,35.4101765316719,9.6,9.3,80.734,51.743,30.63,41.282,10.117647058823529,8.294117647058824,14.882352941176471,14.911764705882353,20.794117647058822,11.705882352941176,3.0,18.0,4.0,3.0,-15.0,1.0,28.990999999999993,-10.651999999999997,-1
0,Duke,1,0.9117647058823528,Alabama,2,0.7575757575757576,128.0,126.5,65.7,74.9,57.363184079602,56.3499529633114,32.089552238806,40.1222953904045,9.6,9.8,80.734,58.572,30.63,46.471,10.117647058823529,10.424242424242424,14.882352941176471,18.515151515151516,20.794117647058822,9.696969696969697,3.0,4.0,4.0,32.0,-1.0,-28.0,22.161999999999992,-15.840999999999998,-1
0,Duke,1,0.9117647058823528,Texas Tech,3,0.7575757575757576,128.0,125.3,65.7,65.4,57.363184079602,55.4554554554555,32.089552238806,29.7297297297297,9.6,5.8,80.734,36.947,30.63,35.224,10.117647058823529,10.242424242424242,14.882352941176471,13.757575757575758,20.794117647058822,13.333333333333334,3.0,6.0,4.0,37.0,-3.0,-33.0,43.78699999999999,-4.593999999999998,-2
0,Duke,1,0.9117647058823528,Wisconsin,3,0.7428571428571429,128.0,122.0,65.7,67.6,57.363184079602,53.5835351089588,32.089552238806,33.7530266343826,9.6,5.9,80.734,24.761,30.63,35.559,10.117647058823529,9.914285714285715,14.882352941176471,16.485714285714284,20.794117647058822,9.285714285714286,3.0,13.0,4.0,27.0,-10.0,-23.0,55.973,-4.9289999999999985,-2
0,Duke,1,0.9117647058823528,Iowa St.,3,0.7272727272727273,128.0,119.4,65.7,68.6,57.363184079602,54.5620437956204,32.089552238806,38.4775808133472,9.6,5.4,80.734,35.926,30.63,36.738,10.117647058823529,7.666666666666667,14.882352941176471,16.939393939393938,20.794117647058822,12.303030303030303,3.0,20.0,4.0,9.0,-17.0,-5.0,44.80799999999999,-6.1080000000000005,-2
